ID,CODE,NAME,REG_US,REG_CA,REG_LA,REG_EU,REG_AP,REG_AF,TOTAL
DB-SG-G01,A,Mediocre Kingdoms,2,3,5,3,4,3,20
DC-SG-G02,B,Dream Crusher,5,3,2,2,5,2,19
FS-SG-G03,C,Final Sequel,3,3,4,1,2,3,16
WC-SH-G04,D,World of Cheese,5,4,2,4,5,1,21
WC-SH-T02,E,World of Cheese Tee,3,2,2,5,1,1,14
PZ-SG-G05,F,Puppies vs. Zombies,5,1,2,1,5,0,14
CU-PG-G06,G,Curling 2014,2,5,1,3,1,0,12
MB-AG-G07,H,Manganiello Bros.,3,4,2,5,2,1,17
MB-AG-T01,I,Manganiello Bros. Tee,3,2,4,5,2,1,17
FI-AG-G08,J,Orvil the Wolverine,2,3,2,3,3,0,13
BS-AG-G09,K,Benign Space Debris,1,4,1,3,0,3,12
SC-MG-G10,L,SIM Cubicle,5,4,1,4,5,1,20
WC-SH-A01,M,Holey Blade of Gouda ,3,2,2,3,4,1,15
WC-SH-A02,N,Fire Resistance Suit of Provolone,4,2,1,4,5,2,18
